url|page_id|post_id|title|date|topics|text_content|text_length_chars|record_type
https://www.mbalacouncil.gov.zm/?page_id=3645|3645.0||Public Notices – Mbala Municipal Council||budget_finance;notice|Public Notices – Mbala Municipal Council Menu Contact Information Mbala Municipal Council Mbala District Northern Province, Zambia A.K Wilombe Lane P.O Box 420057 Tel: 0971921116 Email:mbalacouncil@gmail.com Quick Links Ministry of Local Government and Rural Development Local Government Service Comission Ministry of Finance and National PlanningMinistry of Finance and National Planning Ministry of Agriculture National Assembly of Zambia Local Government Training Institute SMART Zambia ©2025. SMART Zambia Institute & Mbala Municipal Council. All Rights Reserved.|567|page
https://www.mbalacouncil.gov.zm/?page_id=3914|3914.0||Dept Of Finance – Mbala Municipal Council||budget_finance;department|Dept Of Finance – Mbala Municipal Council Menu Department of Finance and Accounting Finance Department is responsible for effective and efficient mobilisation and prudent utilisation of financial resources in order to enhance smooth operations of the council in the city of Livingstone. It has five (5) sections as follows: Revenue: The section is responsible for effective and efficient collection of all revenues due to the Council in order to finance Councils operations. Accountancy: This section is responsible for; Management of budget preparation process and maintenance of books of accounts for prudent utilisation of resources and timely production of financial reports for both internal and external users in order to facilitate decision making. Technical: Co-ordinating the timely production of financial reports for both internal and external users in order to facilitate decision making and Effective management and maintenance of the assets register in order to determine the value of and safeguard council assets. Expenditure: This section is responsible for; Effective monitoring of expenditure in order to ensure compliance with the council’s budget and Effective management of the payroll in order to ensure that expenditure on personal emoluments is contained within the budget limits Contact Information Mbala Municipal Council Mbala District Northern Province, Zambia A.K Wilombe Lane P.O Box 420057 Tel: 0971921116 Email:mbalacouncil@gmail.com Quick Links Ministry of Local Government and Rural Development Local Government Service Comission Ministry of Finance and National PlanningMinistry of Finance and National Planning Ministry of Agriculture National Assembly of Zambia Local Government Training Institute SMART Zambia ©2025. SMART Zambia Institute & Mbala Municipal Council. All Rights Reserved.|1825|page
https://www.mbalacouncil.gov.zm/?page_id=2104|2104.0||Application Forms – Mbala Municipal Council||cdf;budget_finance|Application Forms – Mbala Municipal Council Menu CDF APPLICATION FORMS CDF Community Projects Application Forms CDF Empowerment Grants Application Forms CDF Loan Empowerment Application Forms CDF Secondary Boarding School Bursary Application Forms CDF Skills Development Bursary Application Forms Contact Information Mbala Municipal Council Mbala District Northern Province, Zambia A.K Wilombe Lane P.O Box 420057 Tel: 0971921116 Email:mbalacouncil@gmail.com Quick Links Ministry of Local Government and Rural Development Local Government Service Comission Ministry of Finance and National PlanningMinistry of Finance and National Planning Ministry of Agriculture National Assembly of Zambia Local Government Training Institute SMART Zambia ©2025. SMART Zambia Institute & Mbala Municipal Council. All Rights Reserved.|818|page
https://www.mbalacouncil.gov.zm/?p=4208||4208.0|MBALA CBD GETS FACELIFT THROUGH THE PRESIDENT AVENUE CDF PROJECT|2026-09-08T08:54:02+00:00|cdf|Mbala District is bustling with excitement as the President Avenue Constituency Development Fund project is underway, promising to enhance the infrastructure and aesthetics of the Central Business District. Funded under the 2025 CDF allocation at a cost of 8.7 million kwacha, this high value project focuses on a critical 2.5 kilometer stretch of Mbala’s main street, aiming to improve urban infrastructure. The scope of the project includes construction of a high capacity Drainage System, Paving of Walkways and Installation of Street Lights. These enhancements are set to provide a safer and more accessible highway for pedestrians, cyclists and motorists. Currently, the contractor has made substantial progress in excavating the drainage and is actively paving the Sidewalks and installing Curb Stones along the designated stretch, representing 30% progress on the project. This project is crucial in improving overall road safety, reducing flooding risks and assuring longevity of President Avenue. Additionally, the project has created temporary employment opportunities for 48 local residents, which has improved their livelihoods and facilitated community involvement in the development process, ensuring that the benefits of the project extend beyond infrastructure improvements.|1290|post
https://www.mbalacouncil.gov.zm/?page_id=3932|3932.0||Dept of Agriculture – Mbala Municipal Council||department;news|Dept of Agriculture – Mbala Municipal Council Menu DEPARTMENT OF AGRICULTURE OBJECTIVE OF THE DEPARTMENT To enhance access to agricultural inputs; development and utilisation of climate smart agricultural technologies and practices; agriculture diversification promotion; and provision and coordination of training in agriculture. CROP PRODUCTION SERVICES Equipping farmers with technical skills and knowledge in field and horticultural crops Backstopping and supervision to farmers in order to provide technical guidance and support Equipping farmers with knowledge and skills on sustainable and climate smart crop production and land management practices, with a gender-sensitive approach among smallholder farmers in Zambia Research on Field crops as well as sustainable intensification practices and technologies among smallholder farmers that support increase in yields, while promoting green and climate-resilient nutrition sensitive agriculture CAMPS AND BLOCKS Training of farmers in order to ensure effective delivery of appropriate information on skills Demonstrations and agronomic practices of farmers in order to ensure effective delivery of appropriate technologies. Demonstrations and training of farmers in order to ensure effective delivery of appropriate information on technology National Agricultural Information Services (NAIS) Preparing and disseminating  news articles on agricultural programmes in order to inform the public Writing of feature articles on agricultural Programmes in order to inform and educate the public Production of photographs in order  to make them available for publications Recording of audio data in order to facilitate information dissemination Organising radio farm forums in order to facilitate information exchange between farmers and radio programme producers. Liaising with agricultural stakeholders in order to keep the public abreast latest developments in the sectors Coordinating agricultural events vested in the branch in order to achieve their objectives Preparing agricultural  literature in order to facilitate timely production of information and educational publications Land husbandry (TSB) Undertaking of surveys and analyses in order to identify, zone and demarcate suitable agricultural lands. Designing and implementation of agricultural land improvements in order to promote improved land productivity and welfare of rural communities. Identification and transmission of appropriate soil and water conservation and agroforestry technologies in order to facilitate production and productivity of land Inspection and monitoring of farm lands in order to detect land utilisation practices and assess farm productivity Maintenance of an up to date land husbandry database in order to ensure effective storage and retrieval of information Development and implementation of training in land husbandry in order to impart knowledge and skills Agribusiness and Marketing Collection, collation and dissemination of market information within the district in order to facilitate informed decision making by clients Development and Implementation of agribusiness programmes within the district in order to add value to primary agricultural products Development and identification of trade promotion programmes within the district in order to facilitate fair domestic and foreign agricultural trade. Conducting market research within the district in order to generate information. Identification of marketing infrastructural development needs and facilitates the rehabilitation and construction of marketing infrastructure within the district in order to improve market access. Development of sustainable agricultural financing and credit within the district in order to ensure resources are available for agribusiness and marketing Monitoring and evaluation of agribusiness and marketing programmes within the district in order to facilitate the implementation of appropriate interventions Linking farmers to the Input/Mechanisation Suppliers and Agricultural Financial Service Providers Food and Nutrition Capacity building programs in food and nutrition in order to enhance knowledge and skills to farmers Development and implementation of food and nutrition in order to enhance house hold food security. Monitoring and evaluation in food and nutrition in order to facilitate appropriate interventions Research in food and nutrition in order to generate information for decision making Contact Information Mbala Municipal Council Mbala District Northern Province, Zambia A.K Wilombe Lane P.O Box 420057 Tel: 0971921116 Email:mbalacouncil@gmail.com Quick Links Ministry of Local Government and Rural Development Local Government Service Comission Ministry of Finance and National PlanningMinistry of Finance and National Planning Ministry of Agriculture National Assembly of Zambia Local Government Training Institute SMART Zambia ©2025. SMART Zambia Institute & Mbala Municipal Council. All Rights Reserved.|4968|page
https://www.mbalacouncil.gov.zm/?page_id=3930|3930.0||Dept of Fisheries, Livestock and Veterinary Services – Mbala Municipal Council||budget_finance;department|Dept of Fisheries, Livestock and Veterinary Services – Mbala Municipal Council Menu Coming Soon………. Contact Information Mbala Municipal Council Mbala District Northern Province, Zambia A.K Wilombe Lane P.O Box 420057 Tel: 0971921116 Email:mbalacouncil@gmail.com Quick Links Ministry of Local Government and Rural Development Local Government Service Comission Ministry of Finance and National PlanningMinistry of Finance and National Planning Ministry of Agriculture National Assembly of Zambia Local Government Training Institute SMART Zambia ©2025. SMART Zambia Institute & Mbala Municipal Council. All Rights Reserved.|621|page
https://www.mbalacouncil.gov.zm/?page_id=3647|3647.0||Forms – Mbala Municipal Council||budget_finance|Forms – Mbala Municipal Council Menu Contact Information Mbala Municipal Council Mbala District Northern Province, Zambia A.K Wilombe Lane P.O Box 420057 Tel: 0971921116 Email:mbalacouncil@gmail.com Quick Links Ministry of Local Government and Rural Development Local Government Service Comission Ministry of Finance and National PlanningMinistry of Finance and National Planning Ministry of Agriculture National Assembly of Zambia Local Government Training Institute SMART Zambia ©2025. SMART Zambia Institute & Mbala Municipal Council. All Rights Reserved.|558|page
https://www.mbalacouncil.gov.zm/?page_id=3920|3920.0||Dept of Engineering Services – Mbala Municipal Council||budget_finance;department|Dept of Engineering Services – Mbala Municipal Council Menu Department of Engineering Services The role of this department is to facilitate engineering services such as; feeder roads, borehole drilling, inspection of buildings, scrutinizing building plans to make sure it’s the required standard, providing burial site, fire brigade services, maintenance of plant and machinery, Contact Information Mbala Municipal Council Mbala District Northern Province, Zambia A.K Wilombe Lane P.O Box 420057 Tel: 0971921116 Email:mbalacouncil@gmail.com Quick Links Ministry of Local Government and Rural Development Local Government Service Comission Ministry of Finance and National PlanningMinistry of Finance and National Planning Ministry of Agriculture National Assembly of Zambia Local Government Training Institute SMART Zambia ©2025. SMART Zambia Institute & Mbala Municipal Council. All Rights Reserved.|900|page
https://www.mbalacouncil.gov.zm/?page_id=3928|3928.0||Dept of Housing and Social Services – Mbala Municipal Council||department|Dept of Housing and Social Services – Mbala Municipal Council Menu Department of Housing and Social Services The department administrates all housing related services.  It integrates Human Settlements acts as an agent for Provincial Government and is working with them to achieve their vision, to develop sustainable integrated human settlements.  The department is also responsible for planning and implementation of various social services in low income groups, management of social amenities and recreation facilities run by the Local Authority. The Department is responsible for the provision of the following. Community development services and Social Protection Programs. Management and upgrading of unplanned settlements and Housing Services. Administration of Bus Stations and Markets. Responsible for the provision of Library Services, Sports and recreation activities and Skills development. The department is headed by the DHSS who is responsible for five section heads as listed. Community Development Sections This Section is headed by the CDO and is responsible for the following main functions. Facilitate the mobilisation of communities in community development activities. Coordinate and implement social protection programs. ( GBV, Child abuse, early marriages, teen pregnancies and other cross-cutting issues) Implement skills development to enhance the availability of skills in communities. Coordinate the development of community sports in the district. Facilitate the provision of early childhood education and adult literacy. Registration and management of community voluntary organizations. Library Services Section Provide Library information services to support research. Peri-Urban and Housing Section Coordinate the upgrading of unplanned settlements in the District. i) Lobby for improved housing units. ii) Facilitate acquisition of occupancy licenses. iii) Facilitate the access to water and other social                            amenities. Manage the squatter settlements in the district. Manage Council properties and housing data needs in the district. Markets and Bus Stations Section Manage bus stations and markets to facilitate smooth operations and enhance revenue collections. Easing the mobility of people and goods Allocation of market stands. Provision of services such as water, sanitation and security to market users. Manage bus stations and markets to facilitate smooth operations and enhance revenue collection. Contact Information Mbala Municipal Council Mbala District Northern Province, Zambia A.K Wilombe Lane P.O Box 420057 Tel: 0971921116 Email:mbalacouncil@gmail.com Quick Links Ministry of Local Government and Rural Development Local Government Service Comission Ministry of Finance and National PlanningMinistry of Finance and National Planning Ministry of Agriculture National Assembly of Zambia Local Government Training Institute SMART Zambia ©2025. SMART Zambia Institute & Mbala Municipal Council. All Rights Reserved.|2984|page
https://www.mbalacouncil.gov.zm/?p=4156||4156.0|CDF WATER BOWSER DELIVERED TO MBALA DISTRICT|2026-09-08T07:23:23+00:00|cdf|Mbala Municipal Council has successfully procured a brand new Shacman Water Bowser, procured at a cost of K2,200,000.00 under the 2026 Constituency Development Fund (CDF) allocation. The Machinery is a versatile asset with a capacity of 20,000 Litres, equipped with an inbuilt water pump for efficient operation. The equipment was supplied by Higer Bus Zambia Limited, who also conducted an orientation training to ensure that operators at the Local Authority are well equipped to operate the machine, thus guaranteeing effective utilization and maintenance of the equipment. Mbala Municipal Council Town Clerk Mrs. Laura Yumba Munkanta stated as she received the equipment at the Civic Centre, on 22nd June 2026, that acquisition of the Water Bowser will ensure supply of water for grading, compacting and dust suppression during feeder road developments. In addition to the water bowser, the Council is expecting the arrival of a Shacman Low Bed Trailer and a CAT Bulldozer in the coming weeks. The Council previously procured a Grader, Tipper Truck and a Tractor Loader Backhoe which have been utilized to open up and rehabilitate various feeder roads in the District including Kawimbe – Itokoto road, Kamba – Kakungu – Isofu road, Kaseshya – Itokoto and Chipoma – Chalamanga roads. The Council has also rehabilitated various township feeder roads.|1351|post
https://www.mbalacouncil.gov.zm/?page_id=3119|3119.0||ZDSP Documents – Mbala Municipal Council|24 and 2025|cdf;budget_finance;development_plan;governance|ZDSP Documents – Mbala Municipal Council Menu ZDSP FISHERIES AND LIVESTOCK PR ADMIN PLANNING ZDSP MINUTES OF BUSINESS STAKEHOLDERS MEETING ON PROPERTY RATES 05TH AUGUST 2025 December 3, 2025 MINUTES OF CONSULTATIVE STAKEHOLDERS MEETING ON THE CONSTRUCTION OF A TRUCK PARK 02ND JUNE 2025 December 3, 2025 STAKEHOLDER ENGAGEMENT PLAN MBALA November 18, 2025 2025 CDF RECEIVED COMMUNITY PROJECTS November 18, 2025 OWN SOURCE REVENUE PUBLISHED: November 14, 2025 MBALA MUNICIPAL COUNCIL 2025 BI ANNUAL PERFORMANCE PUBLISHED: November 7, 2025 2025 CDF MBALA APPROVED DISASTER PROJECTS PUBLISHED: August 18, 2025 2025 CDF RECEIVED COMMUNITY PROJECTS PUBLISHED: August 18, 2025 2025 CDF APPROVED COMMUNITY PROJECTS PUBLISHED: August 18, 2025 MINUTES OF STAKEHOLDERS BUDGET CONSULTATIVE MEETING PUBLISHED: August 18, 2025 MINUTES OF CITIZENS BUDGET CONSULTATIVE MEETING PUBLISHED: August 18, 2025 2025 WDC CDF APPROVED COMMUNITY PROJECTS PUBLISHED: August 18, 2025 MINUTES OF REVISED CDF GUIDELINES STAKEHOLDER MEETING PUBLISHED: August 18, 2025 MINUTES OF IDP CONSULTATION REPORT MBALA DISTRICT PUBLISHED: August 18, 2025 MINUTES OF CITIZENS 2025 BUDGET PREPARATION MEETING 29TH NOVEMBER 2024 April 3, 2025 FISHERIES AND LIVESTOCK ISA-DEVOLVED RESPONSES-FL PR MINUTES-OF-THE-STAKEHOLDERS-BUDGET-PREPARATION-MEETING-HELD-ON-8TH-DECEMBER-2023 MINUTES-OF-RATE-PAYERS-STAKEHOLDERS-MEETING-HELD-ON-06TH-OCTOBER-2023 MINUTES-OF-IDP-CONSULTATION-REPORT-MBALA-DISTRICT MINUTES OF STAKEHOLDERS MEETING ON THE CONSTRUCTION OF A TRUCK PARK HELD ON 2ND JULY 2025 MINUTES OF STAKEHOLDERS MEETING ON PROPERTY RATES HELD ON 05TH AUGUST 2025 MINUTES-OF-CONSULTATIVE-STAKEHOLDERS-MEETING-ON-THE-CONSTRUCTION-OF-A-TRUCK-PARK-02ND-JUNE-2025 Stakeholder Engagement Plan Mbala Municipal Council Stakeholder Engagement Plan MINUTES-OF-CITIZENS-BUDGET-CONSULTATIVE-MEETING MINUTES-OF-BUSINESS-STAKEHOLDERS-MEETING-ON-PROPERTY-RATES-05TH-AUGUST-2025 MINUTES-OF-CITIZENS-2025-BUDGET-PREPARATION-MEETING-29TH-NOVEMBER-2024 MINUTES-OF-STAKEHOLDERS-BUDGET-CONSULTATIVE-MEETING MINUTES-OF-REVISED-CDF-GUIDELINES-STAKEHOLDER-MEETING ADMIN MBALA MUNCPAL COUNCL- Minutes 2023,2024 and 2025 ORGANISATION STRUCTURE HRMC MINUTES NOV 2024 HRMC MINUTES 3 Sep 2025 MINUTES 2026 HRMC MINUTES 11 July 25 Management minutes Committee meeting minutes MINISTRY OF EDUCATION REPORT TO COUNCIL Council Meeting Report Social Welfare March 2025 FIRST QUARTER 2025-REPORT-MFL Committee Report-Health March 2025 DEPARTMENT OF FORESTRY 2024 COMDEV MANAGEMENT REPORT NOV 2024 Council Report Health-November 29 2024 FOURTH QUARTER -REPORT-MFL 2024 MINISTRY OF EDUCATION PLANS 2024 BRIEF REPORT ON THE AGRICULTURE ACTIVITIES IN THE DISTRICT 2024 SOCIAL WELFARE  COUNCIL NOV REPORT 2023 MINISTRY OF EDUCATION COUNCIL 23bm 2023 THIRD QUARTER REPORT-MFL_051936 2023 Ministry of Agriculture Report to the Council PLANNING wdc minutes 2023 wdc minutes 2023 batch 2 wdc minutes 2023 batch 3 wdc minutes 2024_batch 1 wdc minutes 2024 batch 2 wdc minutes 2024 batch 3 wdc minutes 2024 batch 4 wdc minutes 2024 batch 5 wdc minutes 2024 batch 6 wdc minutes 2025 batch 1 wdc minutes 2025 batch 2 wdc minutes 2025 batch 3 wdc minutes 2025 batch 4 Contact Information Mbala Municipal Council Mbala District Northern Province, Zambia A.K Wilombe Lane P.O Box 420057 Tel: 0971921116 Email:mbalacouncil@gmail.com Quick Links Ministry of Local Government and Rural Development Local Government Service Comission Ministry of Finance and National PlanningMinistry of Finance and National Planning Ministry of Agriculture National Assembly of Zambia Local Government Training Institute SMART Zambia ©2025. SMART Zambia Institute & Mbala Municipal Council. All Rights Reserved.|3696|page
